valid_loss,valid_acc,epoch,step,train_loss,train_acc,lr
4.591493129730225,0.022307345643639565,0,1108,,,
,,1,1108,4.603667736053467,0.010482416488230228,4.1994021557911765e-06
3.889848232269287,0.10342496633529663,1,2217,,,
,,2,2217,4.501192569732666,0.03195446357131004,2.32654365390772e-05
1.9176111221313477,0.43172600865364075,2,3326,,,
,,3,3326,3.3428025245666504,0.16490080952644348,6.067337017157115e-05
1.1509402990341187,0.6412798762321472,3,4435,,,
,,4,4435,2.273409366607666,0.37314021587371826,0.00011498547246446833
0.908316433429718,0.7133843898773193,4,5544,,,
,,5,5544,1.6904890537261963,0.517583429813385,0.00018411445489618927
0.5604966878890991,0.8222172260284424,5,6653,,,
,,6,6653,1.3638763427734375,0.6049368977546692,0.0002654033596627414
0.4533373713493347,0.842947244644165,6,7762,,,
,,7,7762,1.2016955614089966,0.6451758146286011,0.0003557277377694845
0.42913705110549927,0.8566921949386597,7,8871,,,
,,8,8871,1.1028671264648438,0.678088366985321,0.00045161627349443734
0.6485388278961182,0.7868409156799316,8,9980,,,
,,9,9980,1.0571919679641724,0.6917831301689148,0.0005493835778906941
0.44076597690582275,0.8582695126533508,9,11089,,,
,,10,11089,1.0069406032562256,0.7027164101600647,0.0006452722009271383
0.41157692670822144,0.8686345219612122,10,12198,,,
,,11,12198,0.9765262007713318,0.7141005396842957,0.0007355971029028296
0.44810348749160767,0.8553402423858643,11,13307,,,
,,12,13307,0.9586670398712158,0.7183273434638977,0.0008168854983523488
0.3088698089122772,0.9015322327613831,12,14416,,,
,,13,14416,0.934230387210846,0.7223286628723145,0.0008860142552293837
0.3780459463596344,0.8792248964309692,13,15525,,,
,,14,15525,0.8850136995315552,0.741828203201294,0.0009403261938132346
0.4498097002506256,0.8598467707633972,14,16634,,,
,,15,16634,0.8742908239364624,0.7494364380836487,0.00097773433662951
0.3942689001560211,0.8762956261634827,15,17743,,,
,,16,17743,0.8052563667297363,0.7586226463317871,0.0009968009544536471
0.2782036364078522,0.910545289516449,16,18852,,,
,,17,18852,0.7588362693786621,0.7777840495109558,0.0009997985325753689
0.287630170583725,0.9080666899681091,17,19961,,,
,,18,19961,0.7226953506469727,0.787477433681488,0.0009985947981476784
0.2663824260234833,0.9157277941703796,18,21070,,,
,,19,21070,0.6916520595550537,0.7942966818809509,0.0009961884934455156
0.18400010466575623,0.9355565309524536,19,22179,,,
,,20,22179,0.6518555283546448,0.8097385168075562,0.0009925873018801212
0.25227004289627075,0.9136998653411865,20,23288,,,
,,21,23288,0.6412789821624756,0.8088931441307068,0.0009877997217699885
0.23522904515266418,0.9242902398109436,21,24397,,,
,,22,24397,0.6094744205474854,0.8193755745887756,0.0009818368125706911
0.22420401871204376,0.9292473793029785,22,25506,,,
,,23,25506,0.5656932592391968,0.8291816711425781,0.0009747130097821355
0.27007704973220825,0.9143758416175842,23,26615,,,
,,24,26615,0.5514714121818542,0.833577573299408,0.0009664457174949348
0.14267392456531525,0.9495267868041992,24,27724,,,
,,25,27724,0.5312108397483826,0.8424255847930908,0.0009570545516908169
0.23434898257255554,0.9233888983726501,25,28833,,,
,,26,28833,0.5066867470741272,0.8507100939750671,0.0009465625043958426
0.15469422936439514,0.9441189765930176,26,29942,,,
,,27,29942,0.5112547278404236,0.8469905257225037,0.000934994372073561
0.1162421852350235,0.9601171612739563,27,31051,,,
,,28,31051,0.47918811440467834,0.8560640215873718,0.0009223786182701588
0.18667379021644592,0.9423163533210754,28,32160,,,
,,29,32160,0.45619213581085205,0.8620942234992981,0.0009087449871003628
0.14563412964344025,0.9533573389053345,29,33269,,,
,,30,33269,0.4361293911933899,0.8671663403511047,0.0008941270061768591
0.14101913571357727,0.9522307515144348,30,34378,,,
,,31,34378,0.4295979142189026,0.871336817741394,0.0008785591926425695
0.1312738060951233,0.9560613036155701,31,35487,,,
,,32,35487,0.40882495045661926,0.8771415948867798,0.0008620794978924096
0.15389566123485565,0.9490761756896973,32,36596,,,
,,33,36596,0.41007882356643677,0.8776487708091736,0.0008447276195511222
0.11525451391935349,0.9623704552650452,33,37705,,,
,,34,37705,0.3868904709815979,0.8814810514450073,0.0008265454089269042
0.10241811722517014,0.9646236896514893,34,38814,,,
,,35,38814,0.36974120140075684,0.8859896063804626,0.0008075761725194752
0.11193317174911499,0.960793137550354,35,39923,,,
,,36,39923,0.3629744052886963,0.8930906057357788,0.000787866476457566
0.10888466984033585,0.9671022891998291,36,41032,,,
,,37,41032,0.34604501724243164,0.8958521485328674,0.0007674627704545856
0.08569210022687912,0.9680036306381226,37,42141,,,
,,38,42141,0.3382112681865692,0.8987263441085815,0.0007464149966835976
0.07445154339075089,0.9738621115684509,38,43250,,,
,,39,43250,0.321468323469162,0.9031785130500793,0.0007247746107168496
0.07341310381889343,0.9738621115684509,39,44359,,,
,,40,44359,0.30836302042007446,0.9097159504890442,0.000702590448781848
0.07270167022943497,0.9727354645729065,40,45468,,,
,,41,45468,0.29792678356170654,0.9078561663627625,0.0006799193797633052
0.0817498192191124,0.9729607701301575,41,46577,,,
,,42,46577,0.28666478395462036,0.9115757346153259,0.0006568148382939398
0.0726514533162117,0.9756647348403931,42,47686,,,
,,43,47686,0.273573100566864,0.916253387928009,0.0006333327037282288
0.059810739010572433,0.9810725450515747,43,48795,,,
,,44,48795,0.2700032591819763,0.9176623225212097,0.0006095292628742754
0.06016867980360985,0.9774672985076904,44,49904,,,
,,45,49904,0.24651189148426056,0.925834059715271,0.0005854618502780795
0.05273948982357979,0.9828751683235168,45,51013,,,
,,46,51013,0.23360347747802734,0.9303426742553711,0.0005611886736005545
0.053380824625492096,0.980621874332428,46,52122,,,
,,47,52122,0.2218049168586731,0.9323151707649231,0.0005367679987102747
0.046045783907175064,0.9860297441482544,47,53231,,,
,,48,53231,0.21655650436878204,0.933555006980896,0.0005122587899677455
0.06303481012582779,0.9797205924987793,48,54340,,,
,,49,54340,0.20384053885936737,0.9376690983772278,0.0004877200408373028
0.04563424363732338,0.9851284623146057,49,55449,,,
,,50,55449,0.19897408783435822,0.937781810760498,0.000463210919406265
0.054696712642908096,0.9812979102134705,50,56558,,,
,,51,56558,0.1974780559539795,0.9407123327255249,0.00043879044824279845
0.04410770535469055,0.9862550497055054,51,57667,,,
,,52,57667,0.1831001341342926,0.9446009993553162,0.00041451730066910386
0.04638807848095894,0.9837764501571655,52,58776,,,
,,53,58776,0.17011459171772003,0.9484896063804626,0.00039045020821504295
0.03045164979994297,0.9896349906921387,53,59885,,,
,,54,59885,0.17309266328811646,0.94736248254776,0.00036664694198407233
0.03162895143032074,0.9878323674201965,54,60994,,,
,,55,60994,0.160823792219162,0.9507439136505127,0.00034316504024900496
0.03908199071884155,0.9862550497055054,55,62103,,,
,,56,62103,0.14877355098724365,0.9547452926635742,0.000320060906233266
0.035905756056308746,0.9876070022583008,56,63212,,,
,,57,63212,0.1398572474718094,0.9572813510894775,0.00029739021556451917
0.024968739598989487,0.9900856018066406,57,64321,,,
,,58,64321,0.13554252684116364,0.9569432139396667,0.00027520779985934496
0.024305392056703568,0.9905362725257874,58,65430,,,
,,59,65430,0.13209058344364166,0.958746612071991,0.00025356680271215737
0.02221670374274254,0.9914376139640808,59,66539,,,
,,60,66539,0.12466877698898315,0.962691605091095,0.00023251952370628715
0.022217823192477226,0.9923388957977295,60,67648,,,
,,61,67648,0.12421242147684097,0.9628607034683228,0.00021211655985098332
0.018427103757858276,0.9916629195213318,61,68757,,,
,,62,68757,0.11069789528846741,0.9654530882835388,0.0001924071548273787
