valid_loss,valid_acc,epoch,step,train_loss,train_acc,lr
4.587728023529053,0.025236593559384346,0,553,,,
,,1,553,4.60528564453125,0.009702165611088276,6.672692506981548e-06
3.686419725418091,0.1315908133983612,1,1107,,,
,,2,1107,4.454979419708252,0.03937274217605591,4.030557829537429e-05
1.7934664487838745,0.46890491247177124,2,1661,,,
,,3,1661,3.069974422454834,0.2149142622947693,0.0001053092346410267
1.0273516178131104,0.6744028925895691,3,2215,,,
,,4,2215,2.023447036743164,0.4320848286151886,0.0001972527097677812
0.72910475730896,0.7579991221427917,4,2769,,,
,,5,2769,1.4955639839172363,0.5705663561820984,0.00030986813362687826
0.5090091824531555,0.8357368111610413,5,3323,,,
,,6,3323,1.2312387228012085,0.6360559463500977,0.00043547849054448307
0.5095535516738892,0.8294276595115662,6,3877,,,
,,7,3877,1.1109730005264282,0.6702955961227417,0.0005655214772559702
0.4760535955429077,0.8452005386352539,7,4431,,,
,,8,4431,0.9986864328384399,0.7032378315925598,0.0006911319796927273
0.5281039476394653,0.8240198493003845,8,4985,,,
,,9,4985,0.9562815427780151,0.7154219150543213,0.0008037474472075701
0.4710463881492615,0.8562415242195129,9,5539,,,
,,10,5539,0.8920618891716003,0.7373082041740417,0.0008956906385719776
0.5027469992637634,0.8391166925430298,10,6093,,,
,,11,6093,0.8503784537315369,0.7476872801780701,0.0009606938110664487
0.3181716799736023,0.8963497281074524,11,6647,,,
,,12,6647,0.7894812226295471,0.7675428986549377,0.000994327012449503
0.4493805468082428,0.8582695126533508,12,7201,,,
,,13,7201,0.7368202209472656,0.7826038002967834,0.0009996420703828335
0.23750248551368713,0.9209102988243103,13,7755,,,
,,14,7755,0.676864504814148,0.7989621162414551,0.0009975009597837925
0.3060767352581024,0.9042361378669739,14,8309,,,
,,15,8309,0.6577723026275635,0.8046593070030212,0.0009932287503033876
0.21586062014102936,0.9260928630828857,15,8863,,,
,,16,8863,0.6304900050163269,0.813910186290741,0.0009868451161310077
0.2809763252735138,0.9127985835075378,16,9417,,,
,,17,9417,0.5758352279663086,0.8263199329376221,0.0009783762507140636
0.21011504530906677,0.9317259788513184,17,9971,,,
,,18,9971,0.5713142156600952,0.8278429508209229,0.0009678590577095747
0.2560484707355499,0.9204596877098083,18,10525,,,
,,19,10525,0.5206738710403442,0.8400834798812866,0.0009553386480547488
0.16841012239456177,0.9443442821502686,19,11079,,,
,,20,11079,0.5029047727584839,0.8493908047676086,0.0009408676996827126
0.544533908367157,0.8445245623588562,20,11633,,,
,,21,11633,0.48003026843070984,0.855877697467804,0.0009245097753591835
0.20516590774059296,0.9296980500221252,21,12187,,,
,,22,12187,0.4734536111354828,0.8568930625915527,0.0009063337929546833
0.17810523509979248,0.9418656826019287,22,12741,,,
,,23,12741,0.44425565004348755,0.8665388226509094,0.0008864178671501577
0.1408212035894394,0.9502028226852417,23,13295,,,
,,24,13295,0.4067634046077728,0.8800767064094543,0.0008648469229228795
0.1985466629266739,0.9375845193862915,24,13849,,,
,,25,13849,0.39873895049095154,0.8791177868843079,0.0008417137432843447
0.10798025876283646,0.9619197845458984,25,14403,,,
,,26,14403,0.39282211661338806,0.8785536885261536,0.0008171175722964108
0.11028137058019638,0.9628210663795471,26,14957,,,
,,27,14957,0.3542153835296631,0.8909634351730347,0.0007911630091257393
0.09067651629447937,0.9709328413009644,27,15511,,,
,,28,15511,0.3399845063686371,0.8962658047676086,0.0007639618706889451
0.11505621671676636,0.9657503366470337,28,16065,,,
,,29,16065,0.32512935996055603,0.8995938897132874,0.0007356302230618894
0.1046789139509201,0.9643983840942383,29,16619,,,
,,30,16619,0.31441301107406616,0.9042193293571472,0.0007062899530865252
0.09439893811941147,0.9677782654762268,30,17173,,,
,,31,17173,0.292680561542511,0.9119471907615662,0.0006760662072338164
0.07946262508630753,0.9749887585639954,31,17727,,,
,,32,17727,0.28613707423210144,0.9143163561820984,0.0006450885557569563
0.07507843524217606,0.976115345954895,32,18281,,,
,,33,18281,0.27292197942733765,0.9175879955291748,0.0006134894792921841
0.09072289615869522,0.969580888748169,33,18835,,,
,,34,18835,0.2501927316188812,0.9241877198219299,0.000581404659897089
0.07175588607788086,0.9747633934020996,34,19389,,,
,,35,19389,0.24166007339954376,0.9260491728782654,0.000548970652744174
0.05917629972100258,0.9815232157707214,35,19943,,,
,,36,19943,0.21235212683677673,0.932197630405426,0.0005163275054655969
0.047350458800792694,0.9835511445999146,36,20497,,,
,,37,20497,0.20893865823745728,0.9361461997032166,0.00048361439257860184
0.050177156925201416,0.9824244976043701,37,21051,,,
,,38,21051,0.19177016615867615,0.9416741728782654,0.00045097139081917703
0.08022041618824005,0.9736367464065552,38,21605,,,
,,39,21605,0.1970260739326477,0.9380640983581543,0.0004185382276773453
0.04766799136996269,0.9837764501571655,39,22159,,,
,,40,22159,0.18318365514278412,0.9429715871810913,0.00038645396125502884
0.045842915773391724,0.9844524264335632,40,22713,,,
,,41,22713,0.16624332964420319,0.9493456482887268,0.000354855990735814
0.03420994430780411,0.9851284623146057,41,23267,,,
,,42,23267,0.15915046632289886,0.9499661326408386,0.0003238793578930199
0.029316695407032967,0.9907615780830383,42,23821,,,
,,43,23821,0.1425287425518036,0.9550428986549377,0.00029365706723183393
0.0329396016895771,0.9873816967010498,43,24375,,,
,,44,24375,0.1263141930103302,0.9589914083480835,0.00026431833975948393
0.030207086354494095,0.9896349906921387,44,24929,,,
,,45,24929,0.13486315310001373,0.958540141582489,0.00023598893312737346
0.02278129570186138,0.9914376139640808,45,25483,,,
,,46,25483,0.11424796283245087,0.964350163936615,0.00020878991927020252
0.021822897717356682,0.9912122488021851,46,26037,,,
,,47,26037,0.11452697217464447,0.9642937779426575,0.00018283803365193307
0.023686254397034645,0.9898602962493896,47,26591,,,
,,48,26591,0.1063692718744278,0.9659296274185181,0.00015824408910702914
0.022215813398361206,0.9921135902404785,48,27145,,,
,,49,27145,0.10336669534444809,0.9662680625915527,0.00013511381985154003
0.019258543848991394,0.9918882250785828,49,27699,,,
,,50,27699,0.09963547438383102,0.969257652759552,0.00011354588059475645
0.017854951322078705,0.9936908483505249,50,28253,,,
,,51,28253,0.09508233517408371,0.9707242846488953,9.363284334540367e-05
0.01927213743329048,0.9932401776313782,51,28807,,,
,,52,28807,0.08529864996671677,0.9733754396438599,7.54600259824656e-05
0.01670457236468792,0.9927895665168762,52,29361,,,
,,53,29361,0.08477117866277695,0.9738267064094543,5.910512481932528e-05
0.01695389114320278,0.9941415190696716,53,29915,,,
