valid_loss,valid_acc,epoch,step,train_loss,train_acc,lr
4.587179183959961,0.021175941452383995,0,553,,,
,,1,553,4.603074073791504,0.010153429582715034,6.672692506981548e-06
3.654092311859131,0.11939626187086105,1,1107,,,
,,2,1107,4.423807621002197,0.04320848360657692,4.030557829537429e-05
1.664552092552185,0.517008364200592,2,1661,,,
,,3,1661,3.0088789463043213,0.2273804098367691,0.0001053092346410267
0.9039051532745361,0.7177292108535767,3,2215,,,
,,4,2215,1.9776517152786255,0.4449458420276642,0.0001972527097677812
0.8653820753097534,0.7323721647262573,4,2769,,,
,,5,2769,1.4803276062011719,0.5719765424728394,0.00030986813362687826
0.6933101415634155,0.7767515182495117,5,3323,,,
,,6,3323,1.2165758609771729,0.6418659687042236,0.00043547849054448307
0.5879445672035217,0.8118945956230164,6,3877,,,
,,7,3877,1.0781797170639038,0.6799413561820984,0.0005655214772559702
0.47172632813453674,0.8508673310279846,7,4431,,,
,,8,4431,1.000375509262085,0.703519880771637,0.0006911319796927273
0.4863777458667755,0.8499662280082703,8,4985,,,
,,9,4985,0.9477388262748718,0.7198217511177063,0.0008037474472075701
0.3986223042011261,0.8688893914222717,9,5539,,,
,,10,5539,0.9115889668464661,0.7321751117706299,0.0008956906385719776
0.7584920525550842,0.7988285422325134,10,6093,,,
,,11,6093,0.8448222875595093,0.754907488822937,0.0009606938110664487
0.8685521483421326,0.7636855244636536,11,6647,,,
,,12,6647,0.7987101674079895,0.7642711997032166,0.000994327012449503
0.23907488584518433,0.9170984625816345,12,7201,,,
,,13,7201,0.7331264615058899,0.7829986214637756,0.0009996420703828335
0.30621451139450073,0.9004279971122742,13,7755,,,
,,14,7755,0.688011646270752,0.7950135469436646,0.0009975009597837925
0.25332391262054443,0.930840253829956,14,8309,,,
,,15,8309,0.6348457932472229,0.8109205961227417,0.0009932287503033876
0.2218216210603714,0.9240819811820984,15,8863,,,
,,16,8863,0.6177987456321716,0.8147563338279724,0.0009868451161310077
0.2175324559211731,0.9337688684463501,16,9417,,,
,,17,9417,0.5992175936698914,0.8207355737686157,0.0009783762507140636
0.21222686767578125,0.9324172139167786,17,9971,,,
,,18,9971,0.5866096019744873,0.8229918479919434,0.0009678590577095747
0.21789781749248505,0.9333183169364929,18,10525,,,
,,19,10525,0.5169538259506226,0.8444833159446716,0.0009553386480547488
0.17941665649414062,0.9445821046829224,19,11079,,,
,,20,11079,0.5043290257453918,0.8474165201187134,0.0009408676996827126
0.13322435319423676,0.9558458924293518,20,11633,,,
,,21,11633,0.46309202909469604,0.8599954843521118,0.0009245097753591835
0.14311394095420837,0.9517909288406372,21,12187,,,
,,22,12187,0.45094987750053406,0.8635491728782654,0.0009063337929546833
0.15311594307422638,0.951565682888031,22,12741,,,
,,23,12741,0.4388103485107422,0.8687387108802795,0.0008864178671501577
0.15877223014831543,0.9484118223190308,23,13295,,,
,,24,13295,0.4121018946170807,0.8750563859939575,0.0008648469229228795
0.13123786449432373,0.9556206464767456,24,13849,,,
,,25,13849,0.39666128158569336,0.8800203204154968,0.0008417137432843447
0.11738739162683487,0.9635052680969238,25,14403,,,
,,26,14403,0.3880167305469513,0.8829535245895386,0.0008171175722964108
0.14046093821525574,0.9547195434570312,26,14957,,,
,,27,14957,0.35482752323150635,0.8924864530563354,0.0007911630091257393
0.11471978574991226,0.9630547165870667,27,15511,,,
,,28,15511,0.35043755173683167,0.8947991728782654,0.0007639618706889451
0.08846703171730042,0.9704888463020325,28,16065,,,
,,29,16065,0.32185855507850647,0.9016245603561401,0.0007356302230618894
0.09994123131036758,0.9698130488395691,29,16619,,,
,,30,16619,0.318320095539093,0.9015117287635803,0.0007062899530865252
0.07900545001029968,0.9725163578987122,30,17173,,,
,,31,17173,0.28639549016952515,0.9117215871810913,0.0006760662072338164
0.08536281436681747,0.9736427068710327,31,17727,,,
,,32,17727,0.27508416771888733,0.9145419597625732,0.0006450885557569563
0.07284294068813324,0.9752196669578552,32,18281,,,
,,33,18281,0.26356714963912964,0.9189981818199158,0.0006134894792921841
0.06681795418262482,0.9774724245071411,33,18835,,,
,,34,18835,0.2422972321510315,0.926782488822937,0.000581404659897089
0.05918876454234123,0.9808515310287476,34,19389,,,
,,35,19389,0.23546333611011505,0.9280799031257629,0.000548970652744174
0.06346815079450607,0.9792746305465698,35,19943,,,
,,36,19943,0.22348715364933014,0.9318591952323914,0.0005163275054655969
0.05430617183446884,0.9813020825386047,36,20497,,,
