valid_loss,valid_acc,epoch,step,train_loss,train_acc,lr
4.559057712554932,0.04235188290476799,0,553,,,
,,1,553,4.5993266105651855,0.012861010618507862,1.3345385013963096e-05
2.564624786376953,0.296688437461853,1,1107,,,
,,2,1107,4.01392936706543,0.08613492548465729,8.061115659074858e-05
1.2408154010772705,0.6235638856887817,2,1661,,,
,,3,1661,2.398977279663086,0.34566786885261536,0.0002106184692820534
0.7706177830696106,0.759630560874939,3,2215,,,
,,4,2215,1.6568223237991333,0.5262861251831055,0.0003945054195355624
0.7252974510192871,0.7769768238067627,4,2769,,,
,,5,2769,1.3414270877838135,0.6064981818199158,0.0006197362672537565
0.7552768588066101,0.7580536007881165,5,3323,,,
,,6,3323,1.264589786529541,0.6306971907615662,0.0008709569810889661
0.7177026271820068,0.7792295813560486,6,3877,,,
,,7,3877,1.1886937618255615,0.6556859016418457,0.0011310429545119405
0.7350490689277649,0.7744987607002258,7,4431,,,
,,8,4431,1.1560425758361816,0.6654444932937622,0.0013822639593854547
0.8081360459327698,0.75467449426651,8,4985,,,
,,9,4985,1.1398824453353882,0.6737928986549377,0.0016074948944151402
1.0456409454345703,0.6972290873527527,9,5539,,,
,,10,5539,1.1297186613082886,0.6758235692977905,0.0017913812771439552
0.7470338940620422,0.7817075848579407,10,6093,,,
,,11,6093,1.0714155435562134,0.692915141582489,0.0019213876221328974
0.7745439410209656,0.7713449001312256,11,6647,,,
,,12,6647,1.0157321691513062,0.7101759910583496,0.001988654024899006
0.5189182162284851,0.8479387164115906,12,7201,,,
,,13,7201,0.9605796337127686,0.7265343070030212,0.001999284140765667
0.43996667861938477,0.8574002981185913,13,7755,,,
,,14,7755,0.8764837384223938,0.7498307824134827,0.001995001919567585
0.5097173452377319,0.856499195098877,14,8309,,,
,,15,8309,0.8404721021652222,0.7562612891197205,0.0019864575006067753
0.40888774394989014,0.8682135343551636,15,8863,,,
,,16,8863,0.793749988079071,0.766527533531189,0.0019736902322620153
0.4140942692756653,0.8684388399124146,16,9417,,,
,,17,9417,0.7629636526107788,0.7791064977645874,0.0019567525014281273
0.31855806708335876,0.8954719305038452,17,9971,,,
,,18,9971,0.725916862487793,0.7893163561820984,0.0019357181154191494
0.33680447936058044,0.8977246880531311,18,10525,,,
,,19,10525,0.6663361191749573,0.8065771460533142,0.0019106772961094975
0.2858394980430603,0.912818193435669,19,11079,,,
,,20,11079,0.6658791303634644,0.8047156929969788,0.0018817353993654251
0.24824726581573486,0.9243072867393494,20,11633,,,
,,21,11633,0.6357665061950684,0.8127820491790771,0.001849019550718367
0.22854572534561157,0.9254336357116699,21,12187,,,
,,22,12187,0.6140721440315247,0.8200586438179016,0.0018126675859093666
0.21732012927532196,0.9299391508102417,22,12741,,,
,,23,12741,0.5731523036956787,0.8300428986549377,0.0017728357343003154
0.15839609503746033,0.9468348622322083,23,13295,,,
,,24,13295,0.55167555809021,0.8363605737686157,0.001729693845845759
0.19063422083854675,0.9351205229759216,24,13849,,,
,,25,13849,0.5227317214012146,0.8478677868843079,0.0016834274865686893
0.16903294622898102,0.9418787956237793,25,14403,,,
,,26,14403,0.49607986211776733,0.8534521460533142,0.0016342351445928216
0.1986093521118164,0.9339941143989563,26,14957,,,
,,27,14957,0.4805401861667633,0.8584160804748535,0.0015823260182514787
0.1807837039232254,0.9394007921218872,27,15511,,,
,,28,15511,0.45470091700553894,0.8693591952323914,0.0015279237413778901
0.13088344037532806,0.9556206464767456,28,16065,,,
,,29,16065,0.4253832697868347,0.8751692175865173,0.0014712604461237788
0.13774073123931885,0.9544942378997803,29,16619,,,
,,30,16619,0.4157713055610657,0.8765230178833008,0.0014125799061730504
0.11745206266641617,0.9619283676147461,30,17173,,,
,,31,17173,0.3880409598350525,0.8842508792877197,0.0013521324144676328
0.10373286157846451,0.9621536135673523,31,17727,,,
,,32,17727,0.377655953168869,0.8880866169929504,0.0012901771115139127
0.1127462163567543,0.9623789191246033,32,18281,,,
,,33,18281,0.3356163501739502,0.8981836438179016,0.0012269789585843682
0.08010753244161606,0.9736427068710327,33,18835,,,
,,34,18835,0.31274887919425964,0.905742347240448,0.001162809319794178
0.0783667340874672,0.9743185639381409,34,19389,,,
,,35,19389,0.3107040822505951,0.9067012667655945,0.001097941305488348
0.06585326045751572,0.9756702184677124,35,19943,,,
,,36,19943,0.3013113737106323,0.9082806706428528,0.0010326550109311938
0.0671304389834404,0.9781482219696045,36,20497,,,
,,37,20497,0.2794310748577118,0.916967511177063,0.0009672287851572037
0.08045437932014465,0.9743185639381409,37,21051,,,
,,38,21051,0.2550569176673889,0.9216493964195251,0.0009019427816383541
0.07377412170171738,0.9745438098907471,38,21605,,,
,,39,21605,0.23865363001823425,0.9268953204154968,0.0008370764553546906
0.05997703596949577,0.9788240790367126,39,22159,,,
,,40,22159,0.23160803318023682,0.9293208718299866,0.0007729079225100577
0.060198139399290085,0.9810768365859985,40,22713,,,
,,41,22713,0.21246667206287384,0.9357513785362244,0.000709711981471628
0.04809807613492012,0.9822031855583191,41,23267,,,
,,42,23267,0.20480063557624817,0.9368231296539307,0.0006477587157860398
0.05259166657924652,0.9837801456451416,42,23821,,,
,,43,23821,0.18778951466083527,0.9387409687042236,0.0005873141344636679
0.03893464058637619,0.9878351092338562,43,24375,,,
,,44,24375,0.17590169608592987,0.9456227421760559,0.0005286366795189679
0.049738600850105286,0.9831042885780334,44,24929,,,
,,45,24929,0.1699339747428894,0.9484995603561401,0.0004719778662547469
0.03880956023931503,0.9862581491470337,45,25483,,,
,,46,25483,0.1512584388256073,0.9545916318893433,0.00041757983854040504
0.03855283930897713,0.9864834547042847,46,26037,,,
,,47,26037,0.15070757269859314,0.9534070491790771,0.00036567606730386615
0.034830961376428604,0.9869340062141418,47,26591,,,
,,48,26591,0.13988375663757324,0.9564530849456787,0.0003164881782140583
0.03447878360748291,0.9860329031944275,48,27145,,,
,,49,27145,0.12877985835075378,0.9607964754104614,0.00027022763970308006
0.03218098729848862,0.9869340062141418,49,27699,,,
,,50,27699,0.1200752705335617,0.9626015424728394,0.0002270917611895129
0.0326419360935688,0.9885109066963196,50,28253,,,
,,51,28253,0.1238156259059906,0.9624887108802795,0.00018726568669080734
