valid_loss,valid_acc,epoch,step,train_loss,train_acc,lr
4.515097141265869,0.054974764585494995,0,1039,,,
,,1,1039,4.592928886413574,0.01610576920211315,1.3724335076403804e-05
1.8763819932937622,0.47025954723358154,1,2079,,,
,,2,2079,3.5999763011932373,0.13756009936332703,8.781249925959855e-05
1.0677762031555176,0.6618601083755493,2,3119,,,
,,3,3119,2.08404278755188,0.4212740361690521,0.00022474347497336566
0.9115596413612366,0.7197188138961792,3,4159,,,
,,4,4159,1.5760465860366821,0.5451322197914124,0.0004036659956909716
0.8501517176628113,0.7308940291404724,4,5199,,,
,,5,5199,1.4164237976074219,0.5966947078704834,0.0005973338847979903
0.759813666343689,0.7669430375099182,5,6239,,,
,,6,6239,1.3323928117752075,0.6159855723381042,0.0007762564346194267
0.620529055595398,0.8105623722076416,6,7279,,,
,,7,7279,1.2604535818099976,0.6401442289352417,0.000913187162950635
0.5759174227714539,0.8246214985847473,7,8319,,,
,,8,8319,1.1639325618743896,0.6676682829856873,0.000987276085652411
0.4008639454841614,0.8675198554992676,8,9359,,,
,,9,9359,1.0760436058044434,0.6879807710647583,0.0009991958504542708
0.434902161359787,0.863193929195404,9,10399,,,
,,10,10399,0.9595394730567932,0.7177283763885498,0.000994386151432991
0.3731304705142975,0.8794159889221191,10,11439,,,
,,11,11439,0.8897885084152222,0.7423076629638672,0.0009848151821643114
0.3498464822769165,0.8922134041786194,11,12479,,,
,,12,12479,0.8127757906913757,0.7620792984962463,0.0009705754346214235
0.27675706148147583,0.8999639749526978,12,13519,,,
,,13,13519,0.7857301235198975,0.7653846144676208,0.0009518029983155429
0.26911354064941406,0.9120403528213501,13,14559,,,
,,14,14559,0.7138084173202515,0.7859975695610046,0.0009286800632253289
0.20977289974689484,0.9279019236564636,14,15599,,,
,,15,15599,0.66851407289505,0.8041466474533081,0.0009014290408231318
0.21498113870620728,0.9260994791984558,15,16639,,,
,,16,16639,0.6206086874008179,0.8131610751152039,0.0008703109342604876
0.17941531538963318,0.9365537166595459,16,17679,,,
,,17,17679,0.5659880042076111,0.8275240659713745,0.000835627259220928
0.1479315608739853,0.9489906430244446,17,18719,,,
,,18,18719,0.5408069491386414,0.8374398946762085,0.0007977113709785044
0.1461891382932663,0.9497116208076477,18,19759,,,
,,19,19759,0.4978136420249939,0.8510817289352417,0.0007569280569441617
0.13711713254451752,0.9547584652900696,19,20799,,,
,,20,20799,0.4635506570339203,0.8595553040504456,0.000713670568075031
0.13301894068717957,0.9567411541938782,20,21839,,,
,,21,21839,0.43330302834510803,0.8679086565971375,0.000668355671223253
0.09996337443590164,0.9639509916305542,21,22879,,,
,,22,22879,0.4034228026866913,0.8753605484962463,0.0006214188179001212
0.09403324872255325,0.9671953916549683,22,23919,,,
,,23,23919,0.3640734851360321,0.8897836804389954,0.0005733129801228642
0.08552228659391403,0.9702595472335815,23,24959,,,
,,24,24959,0.33640149235725403,0.8970552682876587,0.0005245009087957442
0.07434000819921494,0.971521258354187,24,25999,,,
,,25,25999,0.30937138199806213,0.9047476053237915,0.0004754530091304332
0.06551672518253326,0.9760273694992065,25,27039,,,
,,26,27039,0.27810272574424744,0.9129807949066162,0.00042664154898375273
0.05828282609581947,0.9781903624534607,26,28079,,,
,,27,28079,0.24920563399791718,0.9208533763885498,0.00037853638059459627
0.04335619509220123,0.9835976958274841,27,29119,,,
,,28,29119,0.23414750397205353,0.9257211685180664,0.0003316014481242746
0.049723245203495026,0.9832372069358826,28,30159,,,
,,29,30159,0.21682053804397583,0.9318509697914124,0.0002862876281142235
0.03967975452542305,0.984498918056488,29,31199,,,
,,30,31199,0.19953486323356628,0.936598539352417,0.00024303229292854667
0.040692225098609924,0.9826964735984802,30,32239,,,
,,31,32239,0.17404721677303314,0.9448918104171753,0.00020225177286192775
0.03203292191028595,0.9859408736228943,31,33279,,,
,,32,33279,0.15759435296058655,0.9524639248847961,0.00016433866403531283
0.030931539833545685,0.9872025847434998,32,34319,,,
,,33,34319,0.1525004655122757,0.9513822197914124,0.00012965833593625575
0.02592352218925953,0.9890050292015076,33,35359,,,
,,34,35359,0.14067460596561432,0.9546273946762085,9.85443257377483e-05
0.025043431669473648,0.9904469847679138,34,36399,,,
,,35,36399,0.12557116150856018,0.9600961804389954,7.129669393179938e-05
0.025762509554624557,0.990266740322113,35,37439,,,
,,36,37439,0.12729978561401367,0.9599759578704834,4.817776061827317e-05
0.021748080849647522,0.9915284514427185,36,38479,,,
,,37,38479,0.11621871590614319,0.9626802802085876,2.9410013667074963e-05
0.021853791549801826,0.9906272292137146,37,39519,,,
,,38,39519,0.10563492774963379,0.9659254550933838,1.5174382497207262e-05
0.0220317542552948,0.9909877181053162,38,40559,,,
,,39,40559,0.1154816746711731,0.9650841355323792,5.607878392765997e-06
0.02097959816455841,0.9915284514427185,39,41599,,,
,,40,41599,0.11425299197435379,0.9635216593742371,8.026453883758222e-07
