valid_loss,valid_acc,epoch,step,train_loss,train_acc,lr
4.59426212310791,0.015772869810461998,0,1108,,,
,,1,1108,4.605723857879639,0.010876916348934174,4.1994021557911765e-06
4.063553810119629,0.08787742257118225,1,2217,,,
,,2,2217,4.505369186401367,0.028234897181391716,2.32654365390772e-05
2.066540002822876,0.4175304174423218,2,3326,,,
,,3,3326,3.471776247024536,0.14252705872058868,6.067337017157115e-05
1.1754164695739746,0.6417304873466492,3,4435,,,
,,4,4435,2.368983507156372,0.35465508699417114,0.00011498547246446833
0.7714746594429016,0.7507886290550232,4,5544,,,
,,5,5544,1.7267205715179443,0.506199300289154,0.00018411445489618927
0.5812075734138489,0.8084722757339478,5,6653,,,
,,6,6653,1.4005722999572754,0.5887624025344849,0.0002654033596627414
0.664191722869873,0.7884182333946228,6,7762,,,
,,7,7762,1.2225401401519775,0.6390329003334045,0.0003557277377694845
0.5038489103317261,0.8337088823318481,7,8871,,,
,,8,8871,1.111649513244629,0.66777503490448,0.00045161627349443734
0.5675703883171082,0.831906259059906,8,9980,,,
,,9,9980,1.0593881607055664,0.689472496509552,0.0005493835778906941
0.5020622611045837,0.8337088823318481,9,11089,,,
,,10,11089,1.0164257287979126,0.6985459923744202,0.0006452722009271383
1.7020183801651,0.554529070854187,10,12198,,,
,,11,12198,0.9889745116233826,0.7075631022453308,0.0007355971029028296
0.3968163728713989,0.8661559224128723,11,13307,,,
,,12,13307,0.9636062979698181,0.7204688787460327,0.0008168854983523488
0.40689146518707275,0.866606593132019,12,14416,,,
,,13,14416,0.9318472146987915,0.7237939834594727,0.0008860142552293837
0.445296972990036,0.8587201237678528,13,15525,,,
,,14,15525,0.889383852481842,0.7395175695419312,0.0009403261938132346
0.4024282991886139,0.8715637922286987,14,16634,,,
,,15,16634,0.8806572556495667,0.7439697980880737,0.00097773433662951
0.32527849078178406,0.8916178345680237,15,17743,,,
,,16,17743,0.8441333770751953,0.7558047771453857,0.0009968009544536471
0.34805819392204285,0.8943217396736145,16,18852,,,
,,17,18852,0.7900545001029968,0.767301619052887,0.0009997985325753689
0.4046405255794525,0.8765209317207336,17,19961,,,
,,18,19961,0.7577727437019348,0.7777276635169983,0.0009985947981476784
0.25841376185417175,0.9091933369636536,18,21070,,,
,,19,21070,0.7072426080703735,0.7921550869941711,0.0009961884934455156
0.21736310422420502,0.9267688393592834,19,22179,,,
,,20,22179,0.681428074836731,0.8017921447753906,0.0009925873018801212
0.20910272002220154,0.9326273202896118,20,23288,,,
,,21,23288,0.651657223701477,0.8095694184303284,0.0009877997217699885
0.20655463635921478,0.9337539672851562,21,24397,,,
,,22,24397,0.622711718082428,0.81475430727005,0.0009818368125706911
0.33435335755348206,0.8922938108444214,22,25506,,,
,,23,25506,0.5944012999534607,0.8237714171409607,0.0009747130097821355
0.21042080223560333,0.9326273202896118,23,26615,,,
,,24,26615,0.5626985430717468,0.830252468585968,0.0009664457174949348
0.23140020668506622,0.9227129220962524,24,27724,,,
,,25,27724,0.5486094951629639,0.8369589447975159,0.0009570545516908169
0.1404186487197876,0.9520053863525391,25,28833,,,
