valid_loss,valid_acc,epoch,step,train_loss,train_acc,lr
4.486791610717773,0.04109589010477066,0,1039,,,
,,1,1039,4.591164588928223,0.015625,1.3724335076403804e-05
2.209784984588623,0.3842826187610626,1,2079,,,
,,2,2079,3.666456937789917,0.11844951659440994,8.781249925959855e-05
1.021098017692566,0.6838500499725342,2,3119,,,
,,3,3119,2.1783714294433594,0.3965745270252228,0.00022474347497336566
0.7986348271369934,0.742609977722168,3,4159,,,
,,4,4159,1.6230665445327759,0.5355769395828247,0.0004036659956909716
0.7311142086982727,0.7748738527297974,4,5199,,,
,,5,5199,1.4305167198181152,0.5834134817123413,0.0005973338847979903
0.7061752676963806,0.7781182527542114,5,6239,,,
,,6,6239,1.3246639966964722,0.6192307472229004,0.0007762564346194267
0.6959736943244934,0.7795602083206177,6,7279,,,
,,7,7279,1.2658371925354004,0.6331730484962463,0.000913187162950635
0.6179003715515137,0.8112833499908447,7,8319,,,
,,8,8319,1.158835768699646,0.6704927682876587,0.000987276085652411
0.42707666754722595,0.8590483069419861,8,9359,,,
,,9,9359,1.0575532913208008,0.6948317289352417,0.0009991958504542708
0.5234796404838562,0.8374189138412476,9,10399,,,
,,10,10399,0.9747852683067322,0.7128005027770996,0.000994386151432991
0.37957891821861267,0.8810381889343262,10,11439,,,
,,11,11439,0.8892823457717896,0.7409855723381042,0.0009848151821643114
0.2826082110404968,0.9064527750015259,11,12479,,,
,,12,12479,0.8141840100288391,0.7597355842590332,0.0009705754346214235
0.32141926884651184,0.8940158486366272,12,13519,,,
,,13,13519,0.7606397867202759,0.7798076868057251,0.0009518029983155429
0.2505536377429962,0.9100576639175415,13,14559,,,
,,14,14559,0.7048816680908203,0.7926682829856873,0.0009286800632253289
0.19124959409236908,0.9309661388397217,14,15599,,,
,,15,15599,0.6629472970962524,0.8058894276618958,0.0009014290408231318
0.22043755650520325,0.9224945902824402,15,16639,,,
,,16,16639,0.6180068254470825,0.8146634697914124,0.0008703109342604876
0.21122747659683228,0.9316871166229248,16,17679,,,
,,17,17679,0.564812958240509,0.8323917984962463,0.000835627259220928
0.15438535809516907,0.947007954120636,17,18719,,,
,,18,18719,0.5246763229370117,0.8412860631942749,0.0007977113709785044
0.16401199996471405,0.9408795833587646,18,19759,,,
,,19,19759,0.5043544769287109,0.8466947078704834,0.0007569280569441617
0.11235018074512482,0.9605262875556946,19,20799,,,
,,20,20799,0.4568611681461334,0.8604567050933838,0.000713670568075031
0.11095087975263596,0.9614275693893433,20,21839,,,
,,21,21839,0.4356839060783386,0.8677884340286255,0.000668355671223253
0.08795057982206345,0.967375636100769,21,22879,,,
,,22,22879,0.3945466876029968,0.8788461685180664,0.0006214188179001212
0.11666524410247803,0.9610670804977417,22,23919,,,
,,23,23919,0.3572487533092499,0.8927283883094788,0.0005733129801228642
0.07417681813240051,0.9751261472702026,23,24959,,,
,,24,24959,0.33652329444885254,0.8957932591438293,0.0005245009087957442
0.06753186136484146,0.9758471250534058,24,25999,,,
,,25,25999,0.31647101044654846,0.9033653736114502,0.0004754530091304332
0.06378813087940216,0.9781903624534607,25,27039,,,
,,26,27039,0.26440101861953735,0.9183894395828247,0.00042664154898375273
0.0553617961704731,0.9789113402366638,26,28079,,,
,,27,28079,0.2585717439651489,0.91796875,0.00037853638059459627
0.05065176635980606,0.9832372069358826,27,29119,,,
,,28,29119,0.2293325662612915,0.9270432591438293,0.0003316014481242746
0.04207738861441612,0.9852198958396912,28,30159,,,
,,29,30159,0.2092740386724472,0.9353966116905212,0.0002862876281142235
0.040005773305892944,0.9872025847434998,29,31199,,,
,,30,31199,0.20249727368354797,0.9359375238418579,0.00024303229292854667
0.03631025180220604,0.9881038069725037,30,32239,,,
,,31,32239,0.16991330683231354,0.9473557472229004,0.00020225177286192775
0.02828628197312355,0.9893655180931091,31,33279,,,
,,32,33279,0.15677796304225922,0.9487980604171753,0.00016433866403531283
0.03155985847115517,0.988644540309906,32,34319,,,
,,33,34319,0.1458381712436676,0.9533053040504456,0.00012965833593625575
0.025817085057497025,0.9908074736595154,33,35359,,,
,,34,35359,0.14538398385047913,0.954807698726654,9.85443257377483e-05
0.023794397711753845,0.9920691847801208,34,36399,,,
,,35,36399,0.12109442800283432,0.9609375,7.129669393179938e-05
0.024383602663874626,0.9915284514427185,35,37439,,,
,,36,37439,0.1322220414876938,0.960036039352417,4.817776061827317e-05
0.02493305131793022,0.990266740322113,36,38479,,,
,,37,38479,0.11730455607175827,0.963161051273346,2.9410013667074963e-05
0.024308377876877785,0.9917086958885193,37,39519,,,
,,38,39519,0.12020634114742279,0.9623798131942749,1.5174382497207262e-05
0.023354707285761833,0.9917086958885193,38,40559,,,
,,39,40559,0.11817840486764908,0.9636418223381042,5.607878392765997e-06
0.023641007021069527,0.9911679625511169,39,41599,,,
,,40,41599,0.11785982549190521,0.9624999761581421,8.026453883758222e-07
